match_id,season_num,season,venue,toss_winner,team1,team2,toss_decision,match_winner,toss_won_match,bat_first_won,field_first_won
1304112,2022,2022,"Dr DY Patil Sports Academy, Mumbai",Lucknow Super Giants,Lucknow Super Giants,Kolkata Knight Riders,bat,Lucknow Super Giants,1,1,0
1304113,2022,2022,"Wankhede Stadium, Mumbai",Gujarat Titans,Gujarat Titans,Royal Challengers Bangalore,bat,Royal Challengers Bangalore,0,0,0
1304114,2022,2022,"Brabourne Stadium, Mumbai",Chennai Super Kings,Chennai Super Kings,Rajasthan Royals,bat,Rajasthan Royals,0,0,0
1304115,2022,2022,"Wankhede Stadium, Mumbai",Mumbai Indians,Delhi Capitals,Mumbai Indians,field,Mumbai Indians,1,0,1
1304116,2022,2022,"Wankhede Stadium, Mumbai",Sunrisers Hyderabad,Sunrisers Hyderabad,Punjab Kings,bat,Punjab Kings,0,0,0
1312197,2022,2022,"Eden Gardens, Kolkata",Gujarat Titans,Rajasthan Royals,Gujarat Titans,field,Gujarat Titans,1,0,1
1312198,2022,2022,"Eden Gardens, Kolkata",Lucknow Super Giants,Royal Challengers Bangalore,Lucknow Super Giants,field,Royal Challengers Bangalore,0,0,0
1312199,2022,2022,"Narendra Modi Stadium, Ahmedabad",Rajasthan Royals,Royal Challengers Bangalore,Rajasthan Royals,field,Rajasthan Royals,1,0,1
1312200,2022,2022,"Narendra Modi Stadium, Ahmedabad",Rajasthan Royals,Rajasthan Royals,Gujarat Titans,bat,Gujarat Titans,0,0,0
1359475,2023,2023,"Narendra Modi Stadium, Ahmedabad",Gujarat Titans,Chennai Super Kings,Gujarat Titans,field,Gujarat Titans,1,0,1
1359476,2023,2023,"Punjab Cricket Association IS Bindra Stadium, Mohali, Chandigarh",Kolkata Knight Riders,Punjab Kings,Kolkata Knight Riders,field,Punjab Kings,0,0,0
1359477,2023,2023,"Bharat Ratna Shri Atal Bihari Vajpayee Ekana Cricket Stadium, Lucknow",Delhi Capitals,Lucknow Super Giants,Delhi Capitals,field,Lucknow Super Giants,0,0,0
1359478,2023,2023,"Rajiv Gandhi International Stadium, Uppal, Hyderabad",Sunrisers Hyderabad,Rajasthan Royals,Sunrisers Hyderabad,field,Rajasthan Royals,0,0,0
