,Name,Price in rs,Role,TeamName,,Overseas players,Indian players
85,Josh Hazlewood,"50,00,000",Bowler,Mumbai Indians,,,Yogesh Takawale
86,Marchant De Lange,"30,00,000",Bowler,Mumbai Indians,,,Yuzvendra Chahal
87,Krismar Santokie,"30,00,000",Bowler,Mumbai Indians,,,Bhuvneshwar Kumar
88,Ben Dunk,"20,00,000",Wicket Keeper,Mumbai Indians,,,Karn Sharma
89,C.M. Gautam,"20,00,000",Wicket Keeper,Mumbai Indians,,,Ishant Sharma
90,Apoorv Vijay Wankhade,"10,00,000",Batsman,Mumbai Indians,,,Irfan Pathan
91,Pawan Suyal,"10,00,000",Bowler,Mumbai Indians,,,KL Rahul
92,Sushant Marathe,"10,00,000",Wicket Keeper,Mumbai Indians,,,Parveez Rasool
93,Shreyas Gopal,"10,00,000",Bowler,Mumbai Indians,,,Venugopal Rao
94,Steven Smith,"4,00,00,000",All-Rounder,Rajasthan Royals,,,Naman Ojha
95,Brad Hodge,"2,40,00,000",Batsman,Rajasthan Royals,,,Prasanth Parameswaran
96,Rajat Bhatia,"1,70,00,000",All-Rounder,Rajasthan Royals,,,Amit Paunikar
97,Tim Southee,"1,20,00,000",Bowler,Rajasthan Royals,,,Ashish Reddy
98,Dhawal Kulkarni,"1,10,00,000",Bowler,Rajasthan Royals,,,Srikkanth Anirudha
99,Abhishek Nayar,"1,00,00,000",All-Rounder,Rajasthan Royals,,,Ricky Bhui
100,Kane Richardson,"1,00,00,000",Bowler,Rajasthan Royals,,,Chama Milind
101,Ben Cutting,"80,00,000",Bowler,Rajasthan Royals,,,Manprit Juneja
102,Karun Nair,"75,00,000",Batsman,Rajasthan Royals,,,
103,Unmukt Chand,"65,00,000",Batsman,Rajasthan Royals,,,
104,Iqbal Abdullah,"65,00,000",All-Rounder,Rajasthan Royals,,,
105,Deepak Hooda,"40,00,000",Bowler,Rajasthan Royals,,,
106,Dishant Yagnik,"30,00,000",Wicket Keeper,Rajasthan Royals,,,
107,Kevon Cooper,"30,00,000",All-Rounder,Rajasthan Royals,,,
108,Vikramjeet Malik,"20,00,000",Bowler,Rajasthan Royals,,,
109,Ankit Nagendra Sharma,"10,00,000",Bowler,Rajasthan Royals,,,
110,Rahul Tewatia,"10,00,000",All-Rounder,Rajasthan Royals,,,
111,Ankush Bains,"10,00,000",Wicket Keeper,Rajasthan Royals,,,
112,Amit Mishra,"10,00,000",Bowler,Rajasthan Royals,,,
113,Pravin Tambe,"10,00,000",Bowler,Rajasthan Royals,,,
114,Yuvraj Singh,"14,00,00,000",All-Rounder, Royal Challengers Bengaluru,,,
115,Mitchell Starc,"5,00,00,000",Bowler, Royal Challengers Bengaluru,,,
116,Albie Morkel,"2,40,00,000",All-Rounder, Royal Challengers Bengaluru,,,
117,Varun Aaron,"2,00,00,000",Bowler, Royal Challengers Bengaluru,,,
118,Ashok Dinda,"1,50,00,000",Bowler, Royal Challengers Bengaluru,,,
119,Parthiv Patel,"1,40,00,000",Wicket Keeper, Royal Challengers Bengaluru,,,
120,Muttiah Muralitharan,"1,00,00,000",Bowler, Royal Challengers Bengaluru,,,
121,Ravi Rampaul,"90,00,000",Bowler, Royal Challengers Bengaluru,,,
122,Nic Maddinson,"50,00,000",Batsman, Royal Challengers Bengaluru,,,
123,Harshal Patel,"40,00,000",Bowler, Royal Challengers Bengaluru,,,
124,Vijay Zol,"30,00,000",Batsman, Royal Challengers Bengaluru,,,
125,Abu Nechim Ahmed,"30,00,000",Bowler, Royal Challengers Bengaluru,,,
126,Sachin Rana,"20,00,000",Bowler, Royal Challengers Bengaluru,,,
127,Shadab Jakati,"20,00,000",Bowler, Royal Challengers Bengaluru,,,
128,Sandeep Warrier,"10,00,000",Bowler, Royal Challengers Bengaluru,,,
129,Tanmay Mishra,"10,00,000",Batsman, Royal Challengers Bengaluru,,,
130,Yogesh Takawale,"10,00,000",Wicket Keeper, Royal Challengers Bengaluru,,,
131,Yuzvendra Singh Chahal,"10,00,000",Bowler, Royal Challengers Bengaluru,,,
132,David Warner,"5,50,00,000",Batsman, Sunrisers Hyderabad,,,
